2023-11-01 09:24:51

Description 
===========

Start 0uA, 
Step 0.1uA, 
Stop 26uA, 
Integration 1000ms, 
Trigger 100mV
dc


IV Curve
========

Abbreviation: BC = Bias Current (muA), BV = Bias Voltage (V), C = Counts, IT = Integration Time (ms)
Detector number is attached to abbreviation, e.g. BV3 is the bias voltage of the third detector.

BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT
20.25	3.039	-0.002	2.265	0.001	0.722	-0.002	0.749	-0.002	0	0	0	0	0	0	843681948	0	1000.0
20.5	3.074	-0.003	2.291	-0.002	0.729	-0.001	0.763	-0.008	0	0	0	0	0	0	843681007	0	1000.0
20.75	3.111	0.002	2.408	0.001	0.741	-0.002	0.769	-0.002	0	0	0	0	0	0	843686522	0	1000.0
21.0	3.147	-0.003	2.44	-0.002	0.748	-0.003	0.775	-0.003	0	0	0	0	0	0	843697188	0	1000.0
21.25	3.186	-0.003	2.466	0.0	0.758	-0.003	0.785	-0.003	0	0	0	0	0	0	843697900	0	1000.0
21.5	3.221	0.0	2.496	0.001	0.769	0.003	0.799	-0.001	0	0	0	0	0	0	843684761	0	1000.0
21.75	3.257	-0.001	2.525	-0.002	0.776	-0.002	0.805	-0.002	0	0	0	0	0	0	843671210	0	1000.0
22.0	3.294	-0.001	2.557	-0.002	0.783	0.002	0.815	-0.002	0	0	0	0	0	0	843650762	0	1000.0
22.25	3.336	0.003	2.607	-0.001	0.793	-0.0	0.827	-0.002	0	0	0	0	0	0	843665689	0	1000.0
22.5	3.372	0.0	2.638	0.001	0.801	-0.0	0.835	-0.004	0	0	0	0	0	0	843688589	0	1000.0
22.75	3.412	0.0	2.67	0.001	0.811	-0.002	0.847	-0.002	0	0	0	0	0	0	843696036	0	1000.0
23.0	3.449	-0.004	2.698	-0.001	0.824	-0.0	0.854	-0.002	0	0	0	0	0	0	843701427	0	1000.0
23.25	3.482	0.0	2.726	0.001	0.83	-0.002	0.865	-0.001	0	0	0	0	0	0	843717082	0	1000.0
23.5	3.523	-0.007	2.761	-0.001	0.839	0.002	0.869	0.0	0	0	0	0	0	0	843721044	0	1000.0
23.75	3.558	0.002	2.828	-0.002	0.848	-0.001	0.883	0.0	0	0	0	0	0	0	843701479	0	1000.0
24.0	3.597	-0.003	2.897	0.001	0.86	0.004	0.892	-0.001	0	0	0	0	0	0	843703438	0	1000.0
24.25	3.634	0.0	2.926	-0.002	0.867	0.001	0.904	0.001	0	0	0	0	0	0	843694962	0	1000.0
24.5	3.672	-0.001	2.957	-0.002	0.876	-0.0	0.91	-0.002	0	0	0	2	0	0	843701580	0	1000.0
